iata,icao,name,location,time,country
DIS,FCPL,Dolisie Airport,"Dolisie, Republic of the Congo",UTC+01:00,Republic of the Congo
DIU,Not Available,Diu Airport,"Diu, Daman and Diu, India",UTC+05:30,India
DIV,DIDV,Divo Airport,"Divo, Ivory Coast",UTC±00:00,Ivory Coast
DIW,Not Available,Mawella Lagoon Seaplane Base[1],"Dickwella, Sri Lanka",UTC+05:30,Sri Lanka
DIY,LTCC,Diyarbakır Airport,"Diyarbakır, Turkey",UTC+03:00,Turkey
DJA,DBBD,Djougou Airport,"Djougou, Benin",UTC+01:00,Benin
DJB,WIPA,Sultan Thaha Airport,"Jambi, Indonesia",UTC+07:00,Indonesia
DJE,DTTJ,Djerba–Zarzis International Airport,"Djerba, Tunisia",UTC+01:00,Tunisia
DJG,DAAJ,Tiska Djanet Airport,"Djanet, Algeria",UTC+01:00,Algeria
DJH,Not Available,Jebel Ali Seaplane Base,"Dubai, United Arab Emirates",UTC+04:00,United Arab Emirates
DJJ,WAJJ,Sentani Airport,"Jayapura, Indonesia",UTC+09:00,Indonesia
DJM,FCBD,Djambala Airport,"Djambala, Republic of the Congo",UTC+01:00,Republic of the Congo
DJN,Not Available,Delta Junction Airport (FAA: D66),"Delta Junction, Alaska, United States",UTC−09:00,United States
DJO,DIDL,Daloa Airport,"Daloa, Ivory Coast",UTC±00:00,Ivory Coast
DJU,BIDV,Djúpivogur Airport,"Djúpivogur, Iceland",UTC±00:00,Iceland
DKA,Not Available,Katsina Airport[1],"Katsina, Nigeria",UTC+01:00,Nigeria
DKI,YDKI,Dunk Island Airport,"Dunk Island, Queensland, Australia",UTC+10:00,Australia
DKK,KDKK,Chautauqua County/Dunkirk Airport,"Dunkirk, New York, United States",UTC−05:00,United States
DKR,GOOY,Léopold Sédar Senghor International Airport,"Dakar, Senegal",UTC±00:00,Senegal
DKS,UODD,Dikson Airport,"Dikson, Krasnoyarsk Krai, Russia",UTC+07:00,Russia
DKV,YDVR,Docker River Airport,"Docker River, Northern Territory, Australia",UTC+09:30,Australia
DLA,FKKD,Douala International Airport,"Douala, Cameroon",UTC+01:00,Cameroon
DLB,Not Available,Dalbertis Airport,"Dalbertis, Papua New Guinea",UTC+10:00,Papua New Guinea
DLC,ZYTL,Dalian Zhoushuizi International Airport,"Dalian, Liaoning, China",UTC+08:00,China
DLE,LFGJ,Dole–Jura Airport,"Dole, Franche-Comté, France",UTC+01:00,France
DLF,KDLF,Laughlin Air Force Base,"Del Rio, Texas, United States",UTC−06:00,United States
DLG,PADL,Dillingham Airport,"Dillingham, Alaska, United States",UTC−09:00,United States
DLH,KDLH,Duluth International Airport,"Duluth, Minnesota, United States",UTC−06:00,United States
DLI,VVDL,Lien Khuong Airport,"Da Lat, Vietnam",UTC+07:00,Vietnam
DLK,YDLK,Dulkaninna Airport,"Dulkaninna, South Australia, Australia",UTC+09:30,Australia
DLL,KDLC,Dillon County Airport (FAA: DLC),"Dillon, South Carolina, United States",UTC−05:00,United States
DLM,LTBS,Dalaman Airport,"Dalaman, Turkey",UTC+03:00,Turkey
DLN,KDLN,Dillon Airport,"Dillon, Montana, United States",UTC−07:00,United States
DLS,KDLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport),"The Dalles, Oregon, United States",UTC−08:00,United States
DLU,ZPDL,Dali Airport,"Dali, Yunnan, China",UTC+08:00,China
DLV,YDLV,Delissaville Airport,"Delissaville, Northern Territory, Australia",UTC+09:30,Australia
DLY,NVVD,Dillon's Bay Airport,"Dillon's Bay, Erromango, Tafea, Vanuatu",UTC+11:00,Vanuatu
DLZ,ZMDZ,Dalanzadgad Airport,"Dalanzadgad, Mongolia",UTC+08:00,Mongolia
DMA,KDMA,Davis–Monthan Air Force Base,"Tucson, Arizona, United States",UTC−07:00,United States
DMB,UADD,Taraz Airport (Jambyl Airport),"Taraz, Kazakhstan",UTC+06:00,Kazakhstan
DMD,YDMG,Doomadgee Airport,"Doomadgee, Queensland, Australia",UTC+10:00,Australia
DME,UUDD,Domodedovo International Airport,"Moscow, Russia",UTC+03:00,Russia
DMK,VTBD,Don Mueang International Airport,"Bangkok, Thailand",UTC+07:00,Thailand
DMM,OEDF,King Fahd International Airport,"Dammam, Saudi Arabia",UTC+03:00,Saudi Arabia
DMN,KDMN,Deming Municipal Airport,"Deming, New Mexico, United States",UTC−07:00,United States
DMO,KDMO,Sedalia Regional Airport,"Sedalia, Missouri, United States",UTC−06:00,United States
DMR,Not Available,Dhamar Airport,"Dhamar, Yemen",UTC+03:00,Yemen
DMT,SWDM,Diamantino Airport,"Diamantino, Mato Grosso, Brazil",UTC−04:00,Brazil
DMU,VEMR,Dimapur Airport,"Dimapur, Nagaland, India",UTC+05:30,India
DNA,RODN,Kadena Air Base,"Kadena, Okinawa, Japan",UTC+09:00,Japan
DNB,YDBR,Dunbar Airport,"Dunbar, Queensland, Australia",UTC+10:00,Australia
DND,EGPN,Dundee Airport,"Dundee, Scotland, United Kingdom",UTC±00:00,United Kingdom
DNF,Not Available,Martuba Air Base,"Derna, Libya",UTC+02:00,Libya
DNG,Not Available,Doongan Airport[1],"Doongan, Western Australia, Australia",UTC+08:00,Australia
DNH,ZLDH,Dunhuang Airport,"Dunhuang, Gansu, China",UTC+08:00,China
DNI,HSWD,Wad Medani Airport,"Wad Madani, Sudan",UTC+03:00,Sudan
DNK,UKDD,Dnipro International Airport,"Dnipro, Ukraine",UTC+02:00,Ukraine
DNL,KDNL,Daniel Field,"Augusta, Georgia, United States",UTC−05:00,United States
DNM,Not Available,Denham Airport,"Denham, Western Australia, Australia",UTC+08:00,Australia
DNN,KDNN,Dalton Municipal Airport,"Dalton, Georgia, United States",UTC−05:00,United States
DNO,SWDN,Dianópolis Airport,"Dianópolis, Tocantins, Brazil",UTC−03:00,Brazil
DNP,VNDG,Tribhuvannagar Airport (Dang Airport),"Tribhuwannagar, Nepal",UTC+05:45,Nepal
DNQ,YDLQ,Deniliquin Airport,"Deniliquin, New South Wales, Australia",UTC+10:00,Australia
DNR,LFRD,Dinard–Pleurtuit–Saint-Malo Airport,"Dinard / Saint-Malo, Brittany, France",UTC+01:00,France
DNS,KDNS,Denison Municipal Airport,"Denison, Iowa, United States",UTC−06:00,United States
DNU,AYDN,Dinangat Airport,"Dinangat, Papua New Guinea",UTC+10:00,Papua New Guinea
DNV,KDNV,Vermilion Regional Airport,"Danville, Illinois, United States",UTC−06:00,United States
DNX,HSGG,Galegu Airport,"Dinder, Sudan",UTC+03:00,Sudan
DNZ,LTAY,Denizli Çardak Airport,"Denizli, Turkey",UTC+03:00,Turkey
DOA,Not Available,Doany Airport,"Doany, Madagascar",UTC+03:00,Madagascar
DOB,WAPD,Dobo Airport,"Dobo, Indonesia",UTC+09:00,Indonesia
DOC,Not Available,Dornoch Airfield,"Dornoch, Scotland, United Kingdom",UTC±00:00,United Kingdom
DOD,HTDO,Dodoma Airport,"Dodoma, Tanzania",UTC+03:00,Tanzania
DOE,Not Available,Djumu Airstrip,"Djumu, Suriname",UTC−03:00,Suriname
DOG,HSDN,Dongola Airport,"Dongola, Sudan",UTC+03:00,Sudan
DOH,OTHH,Hamad International Airport,"Doha, Qatar",UTC+03:00,Qatar
DOI,AYDO,Doini Island Airport,"Doini Island, Papua New Guinea",UTC+10:00,Papua New Guinea
DOK,UKCC,Donetsk International Airport,"Donetsk, Ukraine",UTC+03:00,Ukraine
DOL,LFRG,Deauville – Saint-Gatien Airport,"Deauville, Lower Normandy, France",UTC+01:00,France
DOM,TDPD,Douglas–Charles Airport,"St Andrew Parish, Dominica",UTC−04:00,Dominica
DON,Not Available,Dos Lagunas Airport,"Dos Lagunas, Guatemala",UTC−06:00,Guatemala
DOO,AYDR,Dorobisoro Airstrip,"Dorobisoro, Papua New Guinea",UTC+10:00,Papua New Guinea
DOP,VNDP,Dolpa Airport,"Dolpa, Nepal",UTC+05:45,Nepal
DOR,DFEE,Dori Airport,"Dori, Burkina Faso",UTC±00:00,Burkina Faso
DOS,Not Available,Dios Airport,"Dios, Papua New Guinea",UTC+11:00,Papua New Guinea
DOU,SSDO,Dourados Airport (Francisco de Matos Pereira Airport),"Dourados, Mato Grosso do Sul, Brazil",UTC−04:00,Brazil
DOV,KDOV,Dover Air Force Base,"Dover, Delaware, United States",UTC−05:00,United States
DOX,YDRA,Dongara Airport,"Dongara, Western Australia, Australia",UTC+08:00,Australia
DOY,ZSDY,Dongying Shengli Airport[1],"Dongying, Shandong, China",UTC+08:00,China
DPA,KDPA,DuPage Airport,"West Chicago, Illinois, United States",UTC−06:00,United States
DPB,SCBI,Pampa Guanaco Airport,"Camerón, Timaukel, Tierra del Fuego Province, Magallanes Region, Chile",UTC−04:00,Chile
DPE,LFAB,Dieppe - Saint-Aubin Airport,"Dieppe, Upper Normandy, France",UTC+01:00,France
DPG,KDPG,Michael Army Airfield,"Dugway, Utah, United States",UTC−07:00,United States
DPL,RPMG,Dipolog Airport,"Dipolog, Philippines",UTC+08:00,Philippines
DPO,YDPO,Devonport Airport,"Devonport, Tasmania, Australia",UTC+10:00,Australia
DPS,WADD,Ngurah Rai International Airport,"Denpasar (Bali), Indonesia",UTC+08:00,Indonesia
DPT,Not Available,Deputatsky Airport,"Deputatsky, Yakutia, Russia",UTC+10:00,Russia
DPU,Not Available,Dumpu Airport,"Dumpu, Papua New Guinea",UTC+10:00,Papua New Guinea
DQA,ZYDQ,Daqing Sartu Airport,"Daqing, Heilongjiang, China",UTC+08:00,China
DQM,Not Available,Duqm International Airport[1],"Duqm, Oman",UTC+04:00,Oman
DRA,KDRA,Desert Rock Airport,"Mercury, Nevada, United States",UTC−08:00,United States
DRB,YDBY,Derby Airport,"Derby, Western Australia, Australia",UTC+08:00,Australia
DRC,Not Available,Dirico Airport,"Dirico, Angola",UTC+01:00,Angola
DRD,YDOR,Dorunda Airport,"Dorunda, Queensland, Australia",UTC+10:00,Australia
DRE,KDRM,Drummond Island Airport (FAA: DRM),"Drummond Island, Michigan, United States",UTC−05:00,United States
DRF,Not Available,Drift River Airport[1],"Drift River, Alaska, United States",UTC−09:00,United States
DRG,PADE,Deering Airport (FAA: DEE),"Deering, Alaska, United States",UTC−09:00,United States
DRH,Not Available,Dabra Airport,"Dabra, Indonesia",UTC+09:00,Indonesia
DRI,KDRI,Beauregard Regional Airport,"DeRidder, Louisiana, United States",UTC−06:00,United States
DRJ,SMDA,Drietabbetje Airstrip,"Drietabbetje, Suriname",UTC−03:00,Suriname
DRK,MRDK,Drake Bay Airport,"Drake Bay, Costa Rica",UTC−06:00,Costa Rica
DRN,YDBI,Dirranbandi Airport,"Dirranbandi, Queensland, Australia",UTC+10:00,Australia
DRO,KDRO,Durango–La Plata County Airport,"Durango, Colorado, United States",UTC−07:00,United States
DRP,RPLK,Bicol International Airport,"Daraga, Albay, Philippines",UTC+8:00,Philippines
DRR,YDRI,Durrie Airport,"Durrie, Queensland, Australia",UTC+10:00,Australia
DRS,EDDC,Dresden Airport,"Dresden, Saxony, Germany",UTC+01:00,Germany
DRT,KDRT,Del Rio International Airport,"Del Rio, Texas, United States",UTC−06:00,United States
DRU,Not Available,Drummond Airport (FAA: M26),"Drummond, Montana, United States",UTC−07:00,United States
DRV,VRMD,Dharavandhoo Airport[1],"Dharavandhoo Island, Baa Atoll, Maldives",UTC+05:00,Maldives
DRW,YPDN,Darwin International Airport,"Darwin, Northern Territory, Australia",UTC+09:30,Australia
DRY,YDRD[4],Drysdale River Airport[1],"Drysdale River, Western Australia, Australia",UTC+08:00,Australia
DSA,EGCN,Robin Hood Airport Doncaster Sheffield,"Doncaster, England, United Kingdom",UTC±00:00,United Kingdom
DSC,FKKS,Dschang Airport,"Dschang, Cameroon",UTC+01:00,Cameroon
DSD,TFFA,La Désirade Airport (Grande-Anse Airport),"La Désirade, Guadeloupe",UTC−04:00,Guadeloupe
DSE,HADC,Combolcha Airport,"Dessie / Kombolcha, Ethiopia",UTC+03:00,Ethiopia
DSG,Not Available,Dilasag Airport,"Dilasag, Philippines",UTC+08:00,Philippines
DSI,KDTS,Destin Executive Airport (FAA: DTS),"Destin, Florida, United States",UTC−06:00,United States
DSK,OPDI,Dera Ismail Khan Airport,"Dera Ismail Khan, Pakistan",UTC+05:00,Pakistan
DSM,KDSM,Des Moines International Airport,"Des Moines, Iowa, United States",UTC−06:00,United States
DSN,ZBDS,Ordos Ejin Horo Airport,"Ordos, Inner Mongolia, China",UTC+08:00,China
DSO,ZKSD,Sondok Airport[1],"Sondok, North Korea",UTC+08:30,North Korea
DSS,GOBD,Blaise Diagne International Airport,"Dakar, Senegal",UTC±00:00,Senegal
DSV,KDSV,Dansville Municipal Airport,"Dansville, New York, United States",UTC−05:00,United States
DSX,RCLM,Dongsha Island Airport[1],"Pratas (Tungsha/Dongsha) Island, Taiwan",UTC+08:00,Taiwan
DTA,KDTA,Delta Municipal Airport,"Delta, Utah, United States",UTC−07:00,United States
DTB,WIMN,Silangit Airport[1],"Siborong-Borong, Indonesia",UTC+07:00,Indonesia
DTD,WALJ,Datadawai Airport,"Datadawai, Indonesia",UTC+08:00,Indonesia
DTE,RPUD,Bagasbas Airport,"Daet, Philippines",UTC+08:00,Philippines
DTH,Not Available,Furnace Creek Airport (FAA: L06),"Death Valley, California, United States",UTC−08:00,United States
DTI,SNDT,Diamantina Airport[1],"Diamantina, Minas Gerais, Brazil",UTC−03:00,Brazil
DTL,KDTL,Detroit Lakes Airport (Wething Field),"Detroit Lakes, Minnesota, United States",UTC−06:00,United States
DTM,EDLW,Dortmund Airport,"Dortmund, North Rhine-Westphalia, Germany",UTC+01:00,Germany
DTN,KDTN,Shreveport Downtown Airport,"Shreveport, Louisiana, United States",UTC−06:00,United States
DTR,Not Available,Decatur Shores Airport[1],"Decatur Island, Washington, United States",UTC−08:00,United States
DTT[1],Not Available,metropolitan area1,"Detroit, Michigan, United States",UTC−05:00,United States
DTU,Not Available,Wudalianchi Airport[1],"Wudalianchi, Heilongjiang, China",UTC+08:00,China
DTW,KDTW,Detroit Metropolitan Wayne County Airport,"Detroit, Michigan, United States",UTC−05:00,United States
DUA,KDUA,Durant Regional Airport–Eaker Field,"Durant, Oklahoma, United States",UTC−06:00,United States
DUB,EIDW,Dublin Airport,"Dublin, Ireland",UTC±00:00,Ireland
DUC,KDUC,Halliburton Field,"Duncan, Oklahoma, United States",UTC−06:00,United States
DUD,NZDN,Dunedin International Airport,"Dunedin, New Zealand",UTC+12:00,New Zealand
DUE,FNDU,Dundo Airport,"Dundo, Angola",UTC+01:00,Angola
DUF,Not Available,Pine Island Airport (FAA: 7NC2),"Corolla, North Carolina, United States",UTC−05:00,United States
DUG,KDUG,Bisbee Douglas International Airport,"Bisbee / Douglas, Arizona, United States",UTC−07:00,United States
DUJ,KDUJ,DuBois Regional Airport,"DuBois, Pennsylvania, United States",UTC−05:00,United States
DUK,FADK,Dukuduku Airport,"Mtubatuba, South Africa",UTC+02:00,South Africa
DUM,WIBD,Pinang Kampai Airport,"Dumai, Indonesia",UTC+07:00,Indonesia
DUQ,Not Available,Duncan Airport,"Duncan, British Columbia, Canada",UTC−08:00,Canada
DUR,FALE,King Shaka International Airport,"Durban, South Africa",UTC+02:00,South Africa
DUS,EDDL,Düsseldorf Airport,"Düsseldorf, North Rhine-Westphalia, Germany",UTC+01:00,Germany
DUT,PADU,Unalaska Airport,"Unalaska, Alaska, United States",UTC−09:00,United States
DVD,Not Available,Andavadoaka Airport,"Andavadoaka, Madagascar",UTC+03:00,Madagascar
DVK,Not Available,Diavik Airport[1],"Diavik Diamond Mine, Northwest Territories, Canada",UTC−07:00,Canada
DVL,KDVL,Devils Lake Regional Airport (Devils Lake Municipal Airport),"Devils Lake, North Dakota, United States",UTC−06:00,United States
DVN,KDVN,Davenport Municipal Airport,"Davenport, Iowa, United States",UTC−06:00,United States
DVO,RPMD,Francisco Bangoy International Airport,"Davao City, Philippines",UTC+08:00,Philippines
DVP,YDPD,Davenport Downs Airport,"Davenport Downs, Queensland, Australia",UTC+10:00,Australia
DVR,Not Available,Daly River Airport,"Daly River, Northern Territory, Australia",UTC+09:30,Australia
DVT,KDVT,Phoenix Deer Valley Airport,"Phoenix, Arizona, United States",UTC−07:00,United States
DWA,FWDW,Dwanga Airport (Dwangwa Airport),"Dwangwa, Malawi",UTC+02:00,Malawi
DWB,FMNO,Soalala Airport,"Soalala, Madagascar",UTC+03:00,Madagascar
DWC,OMDW,Al Maktoum International Airport,"Dubai, United Arab Emirates",UTC+04:00,United Arab Emirates
DWD,OEDW,Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport),"Dawadmi, Saudi Arabia",UTC+03:00,Saudi Arabia
DWH,KDWH,David Wayne Hooks Memorial Airport,"Houston, Texas, United States",UTC−06:00,United States
DWO,Not Available,Diyawanna Oya Seaplane Base[1],"Sri Jayawardenepura Kotte, Sri Lanka",UTC+05:30,Sri Lanka
DWR,OADY,Dwyer Airport[1],"Camp Dwyer, Afghanistan",UTC+04:30,Afghanistan
DXB,OMDB,Dubai International Airport,"Dubai, United Arab Emirates",UTC+04:00,United Arab Emirates
DXD,YDIX,Dixie Airport,"Dixie, Queensland, Australia",UTC+10:00,Australia
DXE,KMBO,Bruce Campbell Field[1] (FAA: MBO),"Madison, Mississippi, United States",UTC−06:00,United States
DXN,VIND,Noida International Airport,"Jewar, India",UTC+05:30,India
DXR,KDXR,Danbury Municipal Airport,"Danbury, Connecticut, United States",UTC−05:00,United States
DYA,YDYS,Dysart Airport,"Dysart, Queensland, Australia",UTC+10:00,Australia
DYG,ZGDY,Zhangjiajie Hehua Airport,"Zhangjiajie, Hunan, China",UTC+08:00,China
DYL,KDYL,Doylestown Airport,"Doylestown, Pennsylvania, United States",UTC−05:00,United States
DYM,Not Available,Diamantina Lakes Airport,"Diamantina Lakes, Queensland, Australia",UTC+10:00,Australia
DYR,UHMA,Ugolny Airport,"Anadyr, Chukotka, Russia",UTC+12:00,Russia
DYS,KDYS,Dyess Air Force Base,"Abilene, Texas, United States",UTC−06:00,United States
DYU,UTDD,Dushanbe International Airport,"Dushanbe, Tajikistan",UTC+05:00,Tajikistan
DYW,Not Available,Daly Waters Airport,"Daly Waters, Northern Territory, Australia",UTC+09:30,Australia
DZA,FMCZ,Dzaoudzi–Pamandzi International Airport,"Dzaoudzi, Mayotte",UTC+03:00,Mayotte
DZH,ZUDA,Dazhou Jinya Airport,"Dazhou, Sichuan, China",UTC+08:00,China
DZI,Not Available,Codazzi Airport,"Codazzi, Colombia",UTC−05:00,Colombia
DZN,UAKD,Zhezkazgan Airport,"Zhezkazgan, Kazakhstan",UTC+06:00,Kazakhstan
DZO,SUDU,Santa Bernardina International Airport,"Durazno, Uruguay",UTC−03:00,Uruguay
DZU,ZUDZ,Dazu Air Base,"Dazu, Chongqing, China",UTC+08:00,China
EAA,PAEG,Eagle Airport,"Eagle, Alaska, United States",UTC−09:00,United States
EAB,ODAS,Abbs Airport,"Abbs, Yemen",UTC+03:00,Yemen
EAE,NVSE,Siwo Airport,"Emae Island, Shefa, Vanuatu",UTC+11:00,Vanuatu
EAL,Not Available,Elenak Airport,"Mejato Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,Marshall Islands
EAM,OENG,Najran Domestic Airport,"Najran, Saudi Arabia",UTC+03:00,Saudi Arabia
EAN,KEAN,Phifer Airfield,"Wheatland, Wyoming, United States",UTC−07:00,United States
EAP[1],Not Available,metropolitan area2,"Basel, Switzerland / Mulhouse, Alsace, France",UTC+01:00,France
EAR,KEAR,Kearney Regional Airport,"Kearney, Nebraska, United States",UTC−06:00,United States
EAS,LESO,San Sebastián Airport,"San Sebastián, Basque Country, Spain",UTC+01:00,Spain
EAT,KEAT,Pangborn Memorial Airport,"Wenatchee, Washington, United States",UTC−08:00,United States
EAU,KEAU,Chippewa Valley Regional Airport,"Eau Claire, Wisconsin, United States",UTC−06:00,United States
EBA,LIRJ,Marina di Campo Airport,"Elba Island, Tuscany, Italy",UTC+01:00,Italy
EBB,HUEN,Entebbe International Airport,"Entebbe, Uganda",UTC+03:00,Uganda
EBD,HSOB,El Obeid Airport,"El Obeid, Sudan",UTC+03:00,Sudan
EBG,SKEB,El Bagre Airport (El Tomin Airport),"El Bagre, Colombia",UTC−05:00,Colombia
EBH,DAOY,El Bayadh Airport[1],"El Bayadh, Algeria",UTC+01:00,Algeria
EBJ,EKEB,Esbjerg Airport,"Esbjerg, Denmark",UTC+01:00,Denmark
EBL,ORER,Erbil International Airport,"Erbil, Iraqi Kurdistan",UTC+03:00,Iraqi Kurdistan
EBM,DTTR,El Borma Airport,"El Borma, Tunisia",UTC+01:00,Tunisia
EBN,Not Available,Ebadon Airstrip,"Ebadon Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,Marshall Islands
EBO,Not Available,Ebon Airport,"Ebon Atoll, Marshall Islands",UTC+12:00,Marshall Islands
EBS,KEBS,Webster City Municipal Airport,"Webster City, Iowa, United States",UTC−06:00,United States
EBU,LFMH,Saint-Étienne–Bouthéon Airport,"Saint-Étienne, Rhône-Alpes, France",UTC+01:00,France
EBW,FKKW,Ebolowa Airport,"Ebolowa, Cameroon",UTC+01:00,Cameroon
ECA,Not Available,Iosco County Airport (FAA: 6D9),"East Tawas, Michigan, United States",UTC−05:00,United States
ECG,KECG,Elizabeth City Regional Airport,"Elizabeth City, North Carolina, United States",UTC−05:00,United States
ECH,YECH,Echuca Airport,"Echuca, Victoria, Australia",UTC+10:00,Australia
ECI,MNLP,Costa Esmeralda Airport[1],"Rivas, Nicaragua",UTC−06:00,Nicaragua
ECN,LCEN,Ercan International Airport[1],"Nicosia (Lefkoşa), Northern Cyprus",UTC+03:00,Northern Cyprus
ECO,Not Available,El Encanto Airport,"El Encanto, Colombia",UTC−05:00,Colombia
ECP,KECP,Northwest Florida Beaches International Airport,"Panama City, Florida, United States",UTC−06:00,United States
ECR,SKEH[2],El Charco Airport,"El Charco, Colombia",UTC−05:00,Colombia
ECS,KECS,Mondell Field,"Newcastle, Wyoming, United States",UTC−07:00,United States
EDA,Not Available,Edna Bay Seaplane Base[1],"Edna Bay, Alaska, United States",UTC−09:00,United States
EDB,HSDB,El Debba Airport,"El Debba, Sudan",UTC+03:00,Sudan
EDD,Not Available,Erldunda Airport,"Erldunda, Northern Territory, Australia",UTC+09:30,Australia
EDE,KEDE,Northeastern Regional Airport,"Edenton, North Carolina, United States",UTC−05:00,United States
EDF,PAED,Elmendorf Air Force Base,"Anchorage, Alaska, United States",UTC−09:00,United States
EDI,EGPH,Edinburgh Airport,"Edinburgh, Scotland, United Kingdom",UTC±00:00,United Kingdom
EDK,KEQA,Captain Jack Thomas/El Dorado Airport (FAA: EQA),"El Dorado, Kansas, United States",UTC−06:00,United States
EDL,HKEL,Eldoret International Airport,"Eldoret, Kenya",UTC+03:00,Kenya
EDM,LFRI,La Roche-sur-Yon Aerodrome,"La Roche-sur-Yon, Pays de la Loire, France",UTC+01:00,France
EDO,LTFD,Balıkesir Koca Seyit Airport,"Edremit, Turkey",UTC+03:00,Turkey
EDQ,Not Available,Erandique Airport,"Erandique, Honduras",UTC−06:00,Honduras
EDR,YPMP,Edward River Airport,"Pormpuraaw, Queensland, Australia",UTC+10:00,Australia
EDW,KEDW,Edwards Air Force Base,"Edwards, California, United States",UTC−08:00,United States
EEA,SNCP,Planalto Serrano Regional Airport,"Correia Pinto, Santa Catarina, Brazil",UTC−03:00,Brazil
EED,KEED,Needles Airport,"Needles, California, United States",UTC−08:00,United States
EEK,PAEE,Eek Airport,"Eek, Alaska, United States",UTC−09:00,United States
EEN,KEEN,Dillant–Hopkins Airport,"Keene, New Hampshire, United States",UTC−05:00,United States
EFD,KEFD,Ellington Field,"Houston, Texas, United States",UTC−06:00,United States
EFG,AYEF,Efogi Airport,"Efogi, Papua New Guinea",UTC+10:00,Papua New Guinea
EFK,KEFK,Newport State Airport,"Newport, Vermont, United States",UTC−05:00,United States
EFL,LGKF,Cephalonia International Airport,"Cephalonia, Greece",UTC+02:00,Greece
EFW,KEFW,Jefferson Municipal Airport,"Jefferson, Iowa, United States",UTC−06:00,United States
EGA,AYEN,Engati Airport,"Engati, Papua New Guinea",UTC+10:00,Papua New Guinea
EGC,LFBE,Bergerac Dordogne Périgord Airport,"Bergerac, Aquitaine, France",UTC+01:00,France
EGE,KEGE,Eagle County Regional Airport,"Eagle / Vail, Colorado, United States",UTC−07:00,United States
EGI,KEGI,Duke Field (Eglin Auxiliary Field 3),"Crestview, Florida, United States",UTC−06:00,United States
EGL,HANG,Neghelle Airport,"Neghelle, Ethiopia",UTC+03:00,Ethiopia
EGM,AGGS,Seghe Airport,"Seghe, Western Province, Solomon Islands",UTC+11:00,Solomon Islands
EGN,HSGN,Geneina Airport,"Geneina, Sudan",UTC+03:00,Sudan
EGO,UUOB,Belgorod International Airport,"Belgorod, Belgorod Oblast, Russia",UTC+03:00,Russia
EGP,Not Available,Maverick County Memorial International Airport,"Eagle Pass, Texas, United States",UTC−06:00,United States
EGS,BIEG,Egilsstaðir Airport,"Egilsstaðir, Iceland",UTC±00:00,Iceland
EGV,KEGV,Eagle River Union Airport,"Eagle River, Wisconsin, United States",UTC−06:00,United States
EGX,PAII,Egegik Airport (FAA: EII),"Egegik, Alaska, United States",UTC−09:00,United States
EHL,SAVB,El Bolsón Airport,"El Bolsón, Río Negro, Argentina",UTC−03:00,Argentina
EHM,PAEH,Cape Newenham LRRS Airport,"Cape Newenham, Alaska, United States",UTC−09:00,United States
EHU,ZHEC,Ezhou Huahu Airport,"Echeng District, Ezhou, Hubei, China",UTC+08:00,China
EIA,Not Available,Popondetta Airport,"Eia, Papua New Guinea",UTC+10:00,Papua New Guinea
EIB,EDGE,Eisenach-Kindel Airport[1],"Eisenach, Thuringia, Germany",UTC+01:00,Germany
EIE,UNII,Yeniseysk Airport,"Yeniseysk, Krasnoyarsk Krai, Russia",UTC+07:00,Russia
EIH,Not Available,Einasleigh Airport,"Einasleigh, Queensland, Australia",UTC+10:00,Australia
EIK,URKE,Yeysk Airport[1],"Yeysk, Krasnodar Krai, Russia",UTC+03:00,Russia
EIL,PAEI,Eielson Air Force Base,"Fairbanks, Alaska, United States",UTC−09:00,United States
EIN,EHEH,Eindhoven Airport,"Eindhoven, Netherlands",UTC+01:00,Netherlands
EIS,TUPJ,Terrance B. Lettsome International Airport,"Tortola, British Overseas Territory of Virgin Islands",UTC−04:00,British Overseas Territory of Virgin Islands
EIY,LLEY,Ein Yahav Airfield,"Ein Yahav, Israel",UTC+02:00,Israel
EJA,SKEJ,Yariguíes Airport,"Barrancabermeja, Colombia",UTC−05:00,Colombia
EJH,OEWJ,Al Wajh Domestic Airport,"Al Wajh, Saudi Arabia",UTC+03:00,Saudi Arabia
EJN,Not Available,Ejin Banner Taolai Airport,"Ejin Banner, Inner Mongolia, China",UTC+08:00,China
EJT,Not Available,Enejit Airport,"Enejit, Mili Atoll, Marshall Islands",UTC+12:00,Marshall Islands
EKA,KEKA,Murray Field,"Eureka, California, United States",UTC−08:00,United States
EKB,UASB,Ekibastuz Airport,"Ekibastuz, Kazakhstan",UTC+06:00,Kazakhstan
EKD,Not Available,Elkedra Airport,"Elkedra, Northern Territory, Australia",UTC+09:30,Australia
EKE,Not Available,Ekereku Airport,"Ekereku, Guyana",UTC−04:00,Guyana
EKI,KEKM,Elkhart Municipal Airport (FAA: EKM),"Elkhart, Indiana, United States",UTC−05:00,United States
EKN,KEKN,Elkins-Randolph County Airport,"Elkins, West Virginia, United States",UTC−05:00,United States
EKO,KEKO,Elko Regional Airport,"Elko, Nevada, United States",UTC−08:00,United States
EKS,UHSK,Shakhtyorsk Airport[1],"Shakhtyorsk, Sakhalin Oblast, Russia",UTC+11:00,Russia
